n,chapter,chapter_title,part,quote,attribution,what_it_buys_you,what_ignoring_it_costs
52,6,Food and the Long Hunger,Two,Fat is the thing you run out of.,Bibi Farooq,"The winter. A diet of potatoes, roots and greens looks adequate on the plate and leaves people cold, slow and always hungry, and the thing missing is fat. Render everything. Keep the drippings, the marrow, the skin, the tallow. Butter, lard, oil and suet are the highest-value foods you will handle and they are the first things people stop noticing when they disappear.","A household that is eating what looks like enough and is thin by March. Bibi identified it before anybody else because she was watching people rather than stores, and the pattern was always the same: plenty of bulk, no fat, and a slow decline that everybody blamed on the cold. Cold is worse when you have not eaten fat. So is thinking."
53,6,Food and the Long Hunger,Two,"A garden sown in March feeds you in August, and not one day sooner.",the Gisburn stock book,"An accurate calendar, which is the only thing that lets you plan a hungry period rather than discover one. Potatoes go in when the soil warms and come out in late summer. Brassicas sown in June carry you through the winter and have to be started while you are still busy with everything else. The stock book has it all laid out by week, in somebody's handwriting, with what went wrong each year in the margin.","The gap. Between the end of the stored food and the first harvest there is a period of about eight weeks that nobody plans for because it happens in early summer when the countryside looks generous, and it is the hungriest part of the year in every account I have. Count backwards from your harvest. Then look at what you have and decide now, in comfort, how thin June is going to be."
54,6,Food and the Long Hunger,Two,Keep one thing back that is only for pleasure.,Nell Shackleton,"People who are still willing to do the work. A jar of something sweet, a bottle, a tin of peaches, tea. Nell kept a box under her bed and produced it four times a year without warning, on bad days, and the effect on a farmhouse in February is out of all proportion to the calories. Nobody has ever worked hard for a life of pure sufficiency.","A household that is provisioned correctly, following every rule in this chapter, and slowly stops caring. That sounds soft next to the rest of the chapter and it is not. The failures I have seen in the third winter were not failures of supply. They were people who could not find a reason to go out in the rain and check the snares, and there is no store in the world that survives a household in that state."
55,7,Ground You Can Hold,Three,"Two doors, always.",the Hillfoot parlour door,"The difference between a problem and an ending. Two ways out of every building you sleep in, two ways off every piece of ground, and both of them checked, in the dark, by everybody who lives there. Not a window you could theoretically get through. A route you have walked at night, in boots, carrying something.","One door means one bad afternoon finishes you. This is the rule that appears in every survivor's account I have ever collected, and the one that costs least to keep. A back door unbolted. A ladder left up. A gap in a wall kept clear. Whatever else you do to a building, do not reduce it to a single exit in the name of making it safe. Every improvement that seals a place is also sealing you inside it."
56,7,Ground You Can Hold,Three,Choose ground for its water first and its walls second.,Samuel Oyelaran,"A place that works for years rather than a place that survives a night. A spring or a beck above the buildings, so it comes to you and does not have to be carried up. Sam's ranking was water, then approach, then exits, then shelter, then walls, and he would not move on the first one. A perfect house that is four hundred yards from water is a house where somebody makes eight hundred trips a year in the open with both hands full.","The slow bleed. Every trip is exposure, every trip is time, and the household adapts by fetching less, which means washing less and drinking less, and you are back in chapter four. Two families in the second year abandoned good stone buildings for worse ones with better water. Both said the same thing afterwards: they should have done it in the first month instead of the fourteenth."
57,7,Ground You Can Hold,Three,A wall you cannot watch is a wall you do not have.,Deniz Aksoy,"An honest picture of your own perimeter. Walk it at three in the morning and ask, from the kitchen window, what you can see and what you would hear. A hundred yards of good stone wall behind a barn where nobody ever looks is not protecting you; it is telling you a story about being protected while somebody stands behind it.","Effort spent in the wrong place. People build. It is satisfying, visible work that feels like progress, and households will spend a fortnight raising a barrier they cannot observe rather than an afternoon cutting the hedge that blinds them. Deniz's version was blunter than mine: you do not need a wall, you need to know. Watch first. Build only where watching has told you to."
58,7,Ground You Can Hold,Three,Cut the sightlines before you build anything.,the Bracewell standing orders,"Distance, which is the only resource that matters when somebody arrives. Take out the hedge that hides the bend, the shed that blocks the view of the lane, the elder in the corner of the yard. Four hundred yards of warning is enough for a household to be inside, quiet and counting. Forty yards is enough to be surprised at.","Every problem arrives at arm's length. There is a caution attached, and Bracewell learned it the hard way. Land you have cleared is also land you are visible on, and a farm stripped of every hedge announces itself as a farm somebody is holding. Cut what blinds you on your own approaches. Leave the screen that hides your roof from the ridge. It is a trade, not a principle, and the orders are wrong to state it as flatly as they do."
59,7,Ground You Can Hold,Three,Upstairs is a trap with a view.,Aiden Kerr,"A correct use for the first floor, which is watching, and a correct place to sleep, which is not up there. Height is the best observation you have and the worst position you can be caught in. Aiden scavenged houses for two years and had a rule about never going above ground level in a building he had not first walked the outside of.","A staircase is a corridor with one end. Everybody who has been trapped in a building in this valley was trapped upstairs, and in three of those cases the ground floor was clear and stayed clear the whole time. Use the height in the day. Sleep near a door. If you must sleep upstairs, put a rope on the window sill and leave it there, and check the knot in daylight now and again."
60,7,Ground You Can Hold,Three,Make every route in noisy on purpose.,Tom Shackleton,"Warning that works while you are asleep, for the price of an afternoon. Gravel on the two paths people would actually use. A gate that is wired so it rattles. Tins on a line across the gap in the wall. Tom did it in the second month, and he did the thing most people miss. He left one silent route for his own household, so they were not setting off their own alarms four times a night.","A watch rota that has to be kept by human beings, all night, in winter, for years. That is the alternative and it is not sustainable; watches degrade, people doze, and the third winter is when it happens. Passive warning does not get tired. It is also the only thing that protects you on the night everybody is ill."
61,7,Ground You Can Hold,Three,Fire ends places. Plan for it before it is on you.,the Settle school log,"The one disaster that can finish a well-run household in twenty minutes. Water in the yard where it can be reached without going through the building. A break between the store and the house. Nothing burning left unattended, ever, and the stove out at night. The school log has eleven pages about a chimney and then stops.","Everything you have built and everybody asleep in it. We are all burning wood indoors in buildings wired for a different century, with candles and lamps and no water above the ground floor, and we are doing it while exhausted. Fire is more likely to kill you now than it was before, by a long way. It receives the least attention in every household I have visited, including my own until the school burned."
62,7,Ground You Can Hold,Three,Do not fortify what you cannot leave.,Deniz Aksoy,"A clear head about a thing people become sentimental about. Three years of work makes a place into an argument you cannot lose. Deniz tested every improvement against one question. Does this make it harder for us to walk out of here in ten minutes. Barred windows fail that test. A dug well passes it. Stored food in one cellar fails it, which is chapter six's third cache.","You will stay when you should go, and you will not experience it as a mistake. You will experience it as loyalty to the place. Everybody who died at the mill died because the mill was worth defending, and it was, and they were right about that, and it did not matter."
63,7,Ground You Can Hold,Three,"The place is worth less than the people in it, and you will not believe that when it matters.",Ruth Cadogan,"Permission, decided in advance, on a calm day, in front of witnesses. Ruth made her household say it out loud once a year: this is a building, we are not going to die in it, and if we go the seed and the medicine and the children go first and the rest stays. Say it while nothing is happening. It will not be sayable later.","This rule contradicts the one before it and the whole of chapter two, and I have left all three of them standing. Some ground is worth holding and Tom was right to hold it. But every household that lost people to a place lost them the same way, which is by making a decision to leave four hours after the decision was available. The building will still be there in a month. You can come back. Nobody has ever come back to a person."
64,8,Strangers,Three,"Talk first, from a distance, with something solid between you.",Deniz Aksoy,"Time, and the ability to change your mind. Sixty yards, a wall, a raised voice, and a conversation that begins before anybody is committed. Almost every situation that goes wrong between two groups goes wrong inside fifteen feet, in the first ninety seconds, because both sides were surprised and both were frightened and somebody moved a hand.","You will make a decision about eight people in the time it takes them to cross a yard. Deniz's whole method was to slow the encounter down: talk across a distance for five minutes about nothing, the weather, the road, where they have come from, and let both sides get bored. Boredom is the thing you are trying to manufacture. Nobody has ever been killed by a group they had already been bored with."
65,8,Strangers,Three,Never meet anybody at your own gate.,the Bracewell standing orders,"A meeting place of your choosing, which is worth more than any weapon. Bracewell used a bend in the lane three hundred yards out with a wall on one side, and every conversation with an outsider happened there. It shows nothing, commits nothing, and gives you a walk home during which you can talk it over.","Everything you own becomes part of the negotiation. At your own gate they can see the roof, the stock, the store, the children, the number of you, and whether the men are older than they look, and all of that is now in the head of somebody you may never see again, or may see in four months with company. Meet away from the place. Always. Even for people you like."
66,8,Strangers,Three,Feed them outside the wall.,Ruth Cadogan,"The ability to be decent without being opened. Bread, hot water, a bag of potatoes, and directions, handed over at the meeting place, is a real kindness and costs you almost nothing, and it is what the great majority of people at your gate actually need. Ruth did it more than a hundred times and never once regretted it.","The two failure modes are opposite and both are expensive. A household that gives nothing accumulates people who have nothing and know where you are, which is exactly how the group at the mill formed. A household that brings everybody in has lost the only thing that lets it keep giving. Between them there is a wide, workable middle, and Ruth lived in it for three years."
67,8,Strangers,Three,Believe the children.,Joyce Attwell,"The most reliable information available at a meeting. Adults arrive with a prepared account because they have learned they must. Children answer what you ask. How many nights have you been walking. Was there a house. Did the men come with you from there. Joyce would talk to the children while somebody else talked to the parents, and she said she had never had a false picture from doing it.","You will take an adult's story at face value and it will be a story built to get them in, which is what a frightened parent should be doing and not a sign of bad faith. The rule has a limit that Joyce insisted on: this is for building a picture, not for cross-examining a nine year old about their family in front of them. Ask two gentle questions. That is usually the whole of it."
68,8,Strangers,Three,A group that will not give you a name will not give you anything else.,Aiden Kerr,"The single most useful signal at a distance. Names, where you have come from, where you are going, who is hurt. The great majority of people answer these, and answer them at once, because they have nothing to hide and a great deal to gain from being known. Aiden's line was that honest people over-explain and frightened people over-explain more.","You will miss the small number of encounters that are actually dangerous, and they announce themselves early if you are listening for it: no names, questions in both directions but no answers, a count of you being taken, a story that adjusts to what you seem to want. That is a different thing from what a nervous family does, and once you have met it you will not confuse the two."
69,8,Strangers,Three,"Trade at distance, in the open, in daylight, or not at all.",the Whitewell list,"Trade, which is worth having, and which almost stopped in the second winter because nobody had a safe shape for it. Neutral ground both parties can see across. Goods set down and stepped back from. Two people, not eight. And an agreement made the meeting before about what is coming, so that nobody is improvising.","The trade that goes wrong is almost always the one arranged quickly, at dusk, at somebody's buildings, with more people present than were expected. Whitewell lost salt and a man in one afternoon by breaking three of the four conditions at once, and the list was written the following week by people who were arguing about whose fault it had been."
70,8,Strangers,Three,Nobody tells the same story twice unless they have rehearsed it.,Hanna Volk,"A quiet check that costs nothing. Ask about the route again an hour later, in a different order, and a true account will come back with different details and the same shape, because that is how memory works. A prepared one comes back word for word, or comes back different in the shape and the same in the words.","Hanna was careful about this and I want to repeat her warning rather than her method. People lie for good reasons. A family that has been turned away from four places will have learned a story that works, and the fact that it is polished does not make them dangerous, it makes them experienced. The signal is worth having and it is not a verdict. Use it to ask a better question, not to close the gate."
71,8,Strangers,Three,Never let anybody see the whole of what you have.,Tom Shackleton,"A margin that survives your own generosity. Whatever is visible from the meeting place is what you are known to have, so the store is out of sight, the stock is in the back field on the days you are expecting anybody, and the third cache is a thing nobody outside the household has ever heard mentioned. Tom went further and kept a small obvious store that could be given away.","You become a number in other people's plans. This is the rule that sounds least generous and is actually what makes generosity survivable, because a household that is known to be thin can afford to give a stranger bread, while a household that has been seen to be rich will be visited by the fifth group in a way the first four did not consider."
72,8,Strangers,Three,"Take somebody in, or admit what you are becoming.",Marta Ellison,"A household you would want to survive into. Everyone in this valley who is still here is here because at some point somebody who owed them nothing opened a gate. Marta's position, and she argued it hard at Whitewell against people with better reasons than hers, was that a household which has decided in principle never to take anybody in has already made its decision about the rest of it too, and will keep making that decision until there is nothing left inside the wall worth the walls.","She was not naive and she was not talking about taking in everybody, which is not possible and gets people killed. She was talking about the third winter, and about what a household becomes after a hundred consecutive refusals: quiet, efficient, sealed, and unable to remember why it is doing any of this. We took in four people that Marta argued for. Two of them are the reason Hillfoot came through the second winter. One of them wrote a third of the chapter you have just read."
73,9,Living in a Group,Three,"Write the rules down before you need them, and put them where they can be read.",the Bracewell standing orders,"Arguments about a document instead of arguments about a person. Once it is on a wall, disagreement is directed at nine lines of paint rather than at whoever is standing in the kitchen, and the thing can be amended in daylight by people who have eaten. It also means that everybody who joins the group learns the rules in the first hour rather than in their first row.","Every dispute becomes personal and every precedent has to be argued from scratch. Unwritten rules always exist, they are just held differently by each person, and the discovery that they differ happens in the middle of a crisis. The nine lines took Bracewell an evening. Nothing else they did bought so much for so little."
74,9,Living in a Group,Three,"Somebody has the final word in an emergency, and everybody agrees who before there is one.",Deniz Aksoy,"Ninety seconds, which is the whole of an emergency. It does not need to be the same person for everything, and Bracewell had three: one for anything outside the wall, one for anything medical, one for fire. Named, agreed, written up, and holding only until the thing is over.","A committee in a yard at night with something coming up the lane. Deniz had seen it and described it as the worst thing he had ever watched: eleven capable adults, all of them right, none of them able to move, losing four minutes. The rule is not about hierarchy and it collapses if it becomes hierarchy. It is about a temporary, bounded authority that ends when the noise stops, and about everyone knowing which voice to obey without checking whose it is."
75,9,Living in a Group,Three,The person who holds the food does not also hold the rota.,Ruth Cadogan,"Trust that does not depend on anybody's character. Split the jobs that carry power: stores, work allocation, the medicine, the decision to trade. Different people, rotated on a known cycle, each of them counted in front of somebody else. Ruth's design assumed that everybody was decent and that being decent would not be enough.","Suspicion, which is slower and more destructive than theft and does not need any theft to happen. A single person who decides who works and who eats will be believed to be favouring somebody within about two months, and they may well be, because they are a human being deciding those things about people they like unevenly. Do not ask anybody to be that good. Split it."
76,9,Living in a Group,Three,"Everybody works, including the ones who cannot.",Joyce Attwell,"People who are still part of the group. The old, the injured, the ill and the very young all have work available to them: watching, sorting, mending, teaching, minding, peeling, keeping the log. Joyce had a woman of eighty-one who could not walk to the gate and who ran the entire seed inventory and taught four children to read.","Two things at once. The group loses hours it needs. And the person loses their place in it, which happens fast, and after a fortnight of being carried they will start apologising for eating, and then they will start refusing food, and I have seen where that goes twice. Give everybody a job that genuinely matters and let them do it badly if that is how it gets done."
77,9,Living in a Group,Three,Say the bad news at breakfast.,Hanna Volk,"A group that can absorb it. Bad news delivered in the morning, to everybody at once, in plain words, gets a day of daylight and work to be metabolised in. The same news at nine at night sits in the dark with people and comes out as something else entirely by morning.","Rumour, which is always worse than the fact and always arrives anyway. Hanna's rule came out of the second winter when a decision about the stores was taken quietly by three people who were trying to avoid frightening anybody, and it was known in an inaccurate form within a day and a half, and the version that circulated was so much worse than the truth that two families left. Tell them at breakfast. Tell them the actual number."
78,9,Living in a Group,Three,A grievance kept for a fortnight is no longer about the thing.,the Settle school log,"Small problems that stay small. There is an entry in the log, in a teacher's handwriting, listing three arguments and the number of days each had been running before it was raised, and the conclusion at the bottom is that nothing raised in the first two days had ever needed more than a conversation. Have a way of raising things that does not require courage: a weekly hour, a person whose job it is, anything.","In a group of nine people who cannot leave, a fortnight is long enough for an irritation about washing up to become a settled belief about somebody's character, and once it is about character it cannot be resolved by fixing the washing up. Everything I have watched come apart came apart at that stage and not before."
79,9,Living in a Group,Three,"Count the stores in front of two people, on a fixed day.",Samuel Oyelaran,"A number everybody believes, which is the foundation of every hard decision you are going to have to make together. First Sunday of the month, two people, written in the book, read out at breakfast. Sam argued for it not because he expected theft but because he expected disbelief, and disbelief is the thing that actually breaks a group.","A household where everybody is privately estimating, and where the estimates diverge, and where the people who think there is less are hoarding and the people who think there is more are resentful of the rationing. Bracewell's count took twenty minutes a month. Sam's phrase for it was that the count is not an audit, it is a conversation everybody is allowed to be in."
80,9,Living in a Group,Three,Nobody watches alone for more than two hours.,Tom Shackleton,"A watch that is actually being kept. Attention collapses after about two hours in the cold and dark, and the person on watch does not notice it collapsing, which is the whole difficulty. Short shifts, a proper handover with something said out loud, and a warm place to go afterwards.","Four hours of theatre. A household that runs long watches has people sitting in the dark achieving nothing, sleeping worse, working worse the next day, and providing a sense of security that is not connected to anything. Tom would rather have had passive warning on the approaches and everybody asleep than a man out for six hours, and after the second winter that is what he did."
81,9,Living in a Group,Three,You are allowed to leave.,Aiden Kerr,"The thing that makes all of the above voluntary. A group people cannot leave is a different kind of place, and it becomes that kind of place by degrees without anybody choosing it. Bracewell wrote down what a person takes with them when they go, which was their own gear, a fortnight of food and a share of the seed, and agreed it in a good month so that nobody had to negotiate it in a bad one.","People stay in groups that are going wrong, and they stay for the reason that leaving means starving, and a group that knows its members cannot leave stops having to be worth staying in. Aiden left two places in his first year and both of them tried to keep him and one of them took his boots. Write down the terms of leaving. Then hope nobody uses them."
82,10,Winter,Four,Wet kills. Cold only helps it.,Deniz Aksoy,"The correct enemy. A dry person in bad clothes at freezing will be uncomfortable for a long time and will live. A wet person in good clothes at eight degrees is on a clock, and eight degrees and raining is the ordinary weather here for five months. Everything about a winter routine should be built around getting dry and staying dry: a drying place, a spare set, and a hard rule about changing.","People will work all day in the wet because they are not cold while they are working, and the bill arrives when they stop. Deniz put the drying rack in the kitchen at Bracewell and made it the most valuable square yard in the building. He made changing out of wet clothes a rule and not a choice. The person who most needs to change is always the one who says they are fine."
83,10,Winter,Four,"Heat the person, then the bed, then the room. Never the house.",Samuel Oyelaran,"A winter's fuel that lasts a winter. Warm clothes and a hat indoors, a hot stone or a bottle in the bed an hour before it is used, one room with the door shut, and everything else left to the weather. Sam reckoned the difference between heating a room and heating a farmhouse was a factor of six in wood, which is the difference between cutting in October and cutting in January.","You burn the whole store by the middle of February trying to make a stone building comfortable, which it will not become. Then you are cold in the worst month with nothing left and a green woodpile. The households that were warm in the second winter were not the ones with the most wood. They were the ones living in one room and wearing coats in it."
84,10,Winter,Four,Cut your wood a year before you burn it.,Tom Shackleton,"Twice the heat and a quarter of the smoke, which is chapter three's problem solved as a side effect. Green wood has half its weight in water and burns cold, dirty and slow, and it lines a chimney with the thing that later burns the house down. A year under cover, split, off the ground. Tom worked two winters ahead and always had.","A cold February with a full woodpile, which is the most demoralising thing I have watched a household go through. They did the work. They cut, hauled, split and stacked four tons, and it will not burn properly, and there is no fixing it now. This is the purest example in the book of a rule about time rather than effort. You cannot work harder in January to undo not having cut in the previous January."
85,10,Winter,Four,Two pairs of dry socks are a survival stock.,Aiden Kerr,"Feet you can still walk on in March. Wool, changed daily, dried by the fire overnight, with the wet pair going inside your coat during the day if there is no fire. Aiden had four pairs and treated them the way other people treated the medicine box, and he walked more miles than anybody in this valley and never had a foot problem.","Trench foot, which nobody expects and which took three people out of action for weeks in the second winter, and one of them permanently. It comes from days of damp rather than from cold, and it arrives without pain until it is well established. Feet, hands and head. Everything else about winter clothing is negotiable and those three are not."
86,10,Winter,Four,Sleep small and sleep together.,Ruth Cadogan,"The eight hours a day when you are producing no heat and losing it fastest. A small room, a low ceiling or a canopy over the bed, bodies together, straw or bracken under the mattress rather than a cold floor beneath it. Ruth put nine people in two rooms at Bracewell and there was some grumbling about it in the first November and none at all by January.","A household that is cold all night for five months does not recover during the day. It shows up as illness, accidents, short tempers and a general slowness that everybody blames on the diet. This is also the cheapest of all the winter rules. It costs nothing at all except the idea that adults are entitled to their own rooms, which is a thing worth having and not worth a winter."
87,10,Winter,Four,Do the outside jobs in November.,the Gisburn stock book,"A January you can survive on the inside. Roof, gutters, drains, gate, wall gaps, the path to the store, the woodshed door, and the state of the boots, all done while there is still light and the ground is workable. The stock book has a November list four pages long and a January list with six items on it, and the discipline is in the difference.","Every one of those jobs done in the wet, in the dark, badly, by somebody who is already cold, at the exact moment when the failure of any of them is most expensive. A blocked drain in November is a morning's work. In February it is a flooded store, a fortnight of damp and a household eating wet flour."
88,10,Winter,Four,Nobody travels alone between December and March.,Elin Pryce,Somebody to fetch help. Winter travel here is not dangerous because of what is on the road. It is dangerous because a turned ankle four miles out at three in the afternoon is a night outside. A night outside in January is not survivable in the clothes people actually wear. Elin lost a colleague that way in the first year on a journey of five miles that she had made forty times.,"The whole margin. A pair can carry an injured person, keep them warm, or leave one and go, and any of the three is a survivable afternoon. Alone, all of it is the same afternoon. The rule has one exception and it is not the one people reach for: a short familiar journey in daylight with somebody at both ends who knows your timing and will come looking. Being expected is the actual protection."
89,10,Winter,Four,Watch for whoever has gone quiet.,Hanna Volk,"The person you are about to lose to something that is not cold. February in a dark house with the same eleven people is when the grief that everybody has parked since the first spring comes back for its answer. Hanna's method was simple and I have never seen it fail: notice who has stopped talking, and go and sit next to them and do a job together without asking them anything.","Two of the nineteen we lost in the second winter were not lost to the winter. Both had been quiet for a fortnight in a full house. Everyone said afterwards that they had noticed and had not wanted to intrude, which is the most understandable sentence in this book and the most expensive."
90,10,Winter,Four,You are allowed to spend the winter doing nothing.,Joyce Attwell,"Spring, with people left in it. There is no useful outside work for a great deal of January and February in this country. A household that treats the whole winter as a productivity problem will grind through it and arrive at March exhausted, in the month when the year's actual work begins. Joyce's winter timetable had three hours of jobs in it and the rest was reading, teaching, sleeping, cards and talking.",Everything that matters and nothing you can point at. Rest is not idleness and it is not a reward for having earned it. It is the thing that puts a household on its feet in the spring. The seasons in this country have been arranged so that there is a stretch in the middle where the only sensible thing to do is very little. Take it. The list will still be there.
91,11,When to Break a Rule,Four,"Know which rule you are breaking, and say it out loud first.",Ruth Cadogan,"The difference between a decision and a drift. Naming it, aloud, to another person, in the moment, takes four seconds and converts an impulse into a choice somebody else has heard. We are lighting a fire in the open. We are going out after dark. Ruth's household did it dozens of times and the saying of it was the whole discipline.","Rules do not get broken. They get eroded, one reasonable exception at a time, until the household is doing something it would never have agreed to do and cannot remember deciding. Nobody at the mill ever voted to stop keeping watch."
92,11,When to Break a Rule,Four,Break a rule for a person. Never for a thing.,Marta Ellison,"A test you can apply in twenty seconds under pressure, and the only one in this chapter that has never let me down. Going out at night for somebody who is hurt is a rule worth breaking. Going out at night for a store of flour is not, and it will feel identical while you are pulling your boots on.","Almost everybody who has died breaking a rule in this valley died going back for an object. Fuel, tools, a generator, a box of tins. Every one of those journeys was justified at the time by arithmetic that was correct. The flour is still there. So is the man who went for it."
93,11,When to Break a Rule,Four,A rule you learned in the first winter is about the first winter.,the Gisburn stock book,"Rules that keep up with the world. The valley of the first year had cars in it, open shops, a functioning road east and eleven times as many people. Half the instructions that were correct then are now costing somebody a morning's work for nothing. The stock book has whole pages crossed out with a date and a note beside them.","Effort spent defending against a year that has finished. Review the list once a year, in the quiet part of the winter. Ask of each rule what it is protecting you from, and whether that thing is still out there."
94,11,When to Break a Rule,Four,Two of you have to agree. One of you can always keep it.,Deniz Aksoy,"A brake that does not depend on being the calmest person in the room. Any rule in this book can be broken by a household that agrees to break it, and any single member can refuse and the thing does not happen. It sounds slow. It takes about a minute and it has stopped more bad journeys here than any other arrangement.","The person who is most frightened, most tired or most certain makes the decision, and those three are usually the same person, and they are always the one moving first. Deniz's addition was that the one who refuses does not have to explain, because the requirement to give reasons is how a refusal gets talked out of."
95,11,When to Break a Rule,Four,Distrust anybody who has never been wrong.,the Bracewell standing orders,"Protection from the most dangerous person in a group, who is not the reckless one. It is the competent one with a good record, whose judgement everybody has learned to defer to, and who has therefore stopped receiving any correction at all. Colm was that man. He earned it honestly.","A group with one voice in it, which is a group with one point of failure. It is also unkind to the person, who ends up unable to be uncertain in front of anybody and then unable to arrive at a door at night asking for help. If you are the one being deferred to, be wrong out loud about something small, on purpose, in front of everybody, twice a year."
96,11,When to Break a Rule,Four,"When the rule and the room disagree, believe the room.",Aiden Kerr,"Your own eyes back. The rules in this book are averages taken across three years and a whole district. You are standing in one place, looking at one particular thing that none of us has seen. Where the ground in front of you plainly contradicts the page, the ground is the better evidence. It knows about today.","Aiden broke chapter eight's rules to bring two children in through the back field at dusk without meeting anybody at the meeting place first, and by every line of that chapter he was wrong. They are both still here. He also, in the same month, trusted a room over a rule and lost a coat, a bag and a fortnight of food. The room is better evidence. It is not good evidence."
97,11,When to Break a Rule,Four,Write down what you broke and what happened.,Joyce Attwell,"A book that improves. Every rule in here came from somebody keeping a record, and the exceptions are more informative than the rules. A rule that gets broken four times a year with no consequence is not a rule. It is a habit with a uniform on. Joyce kept the log at Whitewell in a school exercise book.",The same argument every year and nothing learned from any of it. Half the entries in this book are in the shape they are because somebody broke them and wrote down why. Three were removed when the log made it clear they had never once been right.
98,11,When to Break a Rule,Four,Four of these are not for breaking.,the Hillfoot parlour door,"A floor. Everything in this book is negotiable except four things, and I have chosen them by looking at the ground behind the chapel and not by reasoning about it. Boil the water. Keep the second door. Talk from a distance before anybody moves. And no decision about a human being gets made by one person in a hurry.","These are the four where the cost of being wrong lands on somebody who did not make the decision, and that is the whole basis for the list. Break any of the other ninety-five when the room tells you to. Break these when you have run out of ways of being a person, and not before."
99,11,When to Break a Rule,Four,Put this down and go and live.,Nell Shackleton,"The point of the exercise. Nell is nineteen now. She has read this list more carefully than anybody and she is scathing about it, and her objection is the correct one. It is a book about not dying, and there is nothing in it about anything else. She has a garden that is not a food garden. She is teaching two children to swim in a river that four of these rules would keep them out of.","Ninety-eight rules will get a household through a winter. They will not give anybody a reason to want the spring. I have watched people learn all of this and keep every line of it, and become careful, and quiet, and unbeatable. By the third year there was nothing left inside the wall except the arrangements for staying alive. That is not survival. It is a slower version of the other thing. Learn the ninety-eight. Then close the book, because it is a list of ways not to die and you were not put here to spend your life reading one."
