n,chapter,chapter_title,part,quote,attribution,what_it_means,how_to_use_it
79,7,Numbers That Lie,Three,That difference is within the margin of error.,Margin of Error as a Dismissal,"It sounds like rigour and is often deployed selectively, to dismiss unwelcome results while accepting equally uncertain ones that point the other way. Most listeners will not track the asymmetry.","Apply it evenly. ""Then the one you cited earlier is too, isn't it?"" Consistency is the counter to selective rigour, and pointing at the earlier figure does it in one sentence without any accusation."
80,7,Numbers That Lie,Three,"Just look at the graph, the line is nearly vertical.",The Truncated Axis,A vertical axis starting at ninety-four rather than zero turns a two percent change into a cliff. Nothing is falsified. The eye reads slope as magnitude and the axis label goes unread.,"""What does the y-axis start at?"" Then read the two end values aloud. Saying the actual numbers out loud is what undoes the picture, because the picture was doing work the numbers cannot support."
81,7,Numbers That Lie,Three,"Compared to 2020, we're doing enormously better.",The Chosen Baseline,"Every series has a best year and a worst year to be compared against, and the choice is made silently. 2020 is the great modern example, because almost any measure improves when the comparison is the year the world stopped.","""What about against 2019, and against the ten-year average?"" Asking for two more baselines rather than one avoids a fight about which single year is fair, and the shape of the answer is the answer."
82,7,Numbers That Lie,Three,Only nought point one percent of cases were affected.,The Small Rate on a Big Number,"The rate is chosen because it is small, when the count is the thing that matters. A tenth of a percent of forty million is forty thousand people, and the sentence is designed so that nobody performs that multiplication.","Perform it out loud. ""That's forty thousand people. How many is acceptable?"" Converting the rate to a count takes four seconds and changes the emotional weight of the discussion , without disputing the figure at all."
83,7,Numbers That Lie,Three,There's no evidence of any harm.,Absence of Evidence,"It is technically true whenever nobody has looked, and it sounds like a finding of safety. The gap between *we found nothing* and *nobody has checked* is invisible in the phrasing.","""Has anyone looked, and how hard?"" A well-designed study that found nothing is reassuring and worth saying so. No study at all is not, and the same sentence covers both."
84,7,Numbers That Lie,Three,I'll let the data speak for itself.,Pretending Numbers Are Not Interpreted,"It presents a selection and a framing as though it were raw reality, and it positions any disagreement as an argument with arithmetic rather than with the person who chose what to show.","""Data doesn't speak. What did you leave out?"" Not hostile, just accurate. Every chart is a set of decisions about inclusion, axis and comparison, and naming that returns the argument to the person who made them."
85,8,Weaponising Doubt,Three,The science on this isn't settled.,Manufactured Uncertainty,"No science is ever fully settled, so the sentence is always true and always available. It converts a strong finding into an open question by describing the small remaining uncertainty as though it were the whole picture.","Ask about the shape of the disagreement. ""What's still open, and what's agreed?"" Real live controversies have a location. When the answer is that everything is open, that is not a description of the field, it is a description of the strategy."
86,8,Weaponising Doubt,Three,"That study was funded by the industry, of course.",The Funding Smear,"Funding is a genuine source of bias, so the observation is legitimate and the inference is not. Noting who paid feels like doing due diligence while functioning as a complete substitute for reading the paper.","Grant it and go to the method. ""That's worth knowing. Does it change what they measured?"" Bias operates through design and reporting, which are visible. If the funding did distort it, you can point at where. If you cannot, the objection has not yet done any work."
87,8,Weaponising Doubt,Three,Correlation isn't causation.,A True Sentence Used as a Stop Sign,"It is correct and it sounds like the end of the discussion. Deployed as a full response rather than an opening one, it exempts the speaker from engaging with whatever the study did to address exactly that problem.","Agree and continue. ""No, so what would you want to see? They controlled for income and did a five-year follow-up."" Causation is established by accumulation, not by a single result, and describing the accumulation is the answer this sentence pretends does not exist."
88,8,Weaponising Doubt,Three,You can prove anything with statistics.,Blanket Discrediting,"It discredits an entire category of evidence in six words, and it costs nothing, and it feels worldly. Once accepted, no number can be introduced by anybody, which reliably suits whoever has fewer of them.","""You can't, actually. What's wrong with these ones?"" Said lightly. The general claim collapses the moment it has to become a specific criticism, and it turns out there is no specific criticism available."
89,8,Weaponising Doubt,Three,We need more research before we do anything.,Perpetual Insufficiency,"More research is always possible, so the condition can never be met, and the delay it produces looks like prudence rather than opposition. It also puts the burden of certainty entirely on one side.","Ask for the threshold. ""How much would be enough, and by when?"" A number and a date turn an indefinite delay into a plan. The absence of both is the answer, and it is a much clearer answer than any argument about the existing evidence."
90,8,Weaponising Doubt,Three,There are good people on both sides of this.,False Balance,"Even-handedness is a virtue and this borrows its appearance. Where the evidence is lopsided, presenting two sides as equally weighted is itself a distortion, delivered in the voice of fairness.","Accept the civility and restore the weights. ""Both sides deserve a hearing. They don't have the same amount of evidence, and that's worth saying too."" You have conceded nothing about tone while declining to concede the substance, which is the only version of this that does not sound partisan."
91,8,Weaponising Doubt,Three,"They told us eggs were bad for us, and now they're fine.",The Past Reversal Gambit,"It is true, it is memorable, and it generalises from a handful of famous reversals to everything. The implied conclusion is that current advice is as likely to flip as past advice, regardless of how well established it is.","Point at the strength rather than the fact of the finding. ""Some things reversed. The ones that reversed were thin to begin with. How strong is this one?"" That distinction is the whole answer, and it also happens to be a useful way to read health news."
92,8,Weaponising Doubt,Three,Show me one study that proves it definitively.,The Impossible Standard,"Proof is a word from mathematics and does not apply to empirical questions, so the demand can never be met. It sounds rigorous while asking for something that does not exist in any field.","Name the achievable standard. ""Nothing outside maths gets proved. What we've got is nine studies, three designs, same direction. What would you accept?"" Refusing the word without refusing the scrutiny is the move here."
93,8,Weaponising Doubt,Three,There are still a lot of unanswered questions.,Unspecified Doubt,"It gestures at problems without naming any, so there is nothing to answer and the impression of a shaky case lingers. It is also unfalsifiable: there are always unanswered questions.","""Which ones? I'll go and look."" The request is friendly and it is fatal. Either you get a list, which is useful and answerable, or the questions turn out not to exist in any specific form."
94,8,Weaponising Doubt,Three,"I'm just a sceptic by nature, that's all.",Scepticism as Identity,"It converts a position into a personality, which puts it beyond argument. You cannot rebut somebody's temperament, and framing doubt as a permanent trait excuses it from ever being satisfied by anything.","Take the identity seriously and test it. ""So am I. What would convince you?"" Real scepticism is a method with an exit; it can say what would change its mind. Identity scepticism has no exit, and the question makes the difference plain."
95,8,Weaponising Doubt,Three,Ask yourself who benefits from you believing that.,The Motive Inversion,"It replaces the question of whether a claim is true with the question of who gains, which is unanswerable and endless. It also flatters the listener as somebody who sees behind things.","Answer it and move past it. ""Plenty of people, probably. It's still either true or false, and here's how we'd check."" Following the money is a legitimate investigative technique and a terrible epistemology, and the difference is whether it ever returns to the evidence."
96,8,Weaponising Doubt,Three,"I'm not saying it's wrong, I'm just raising the possibility.",The Costless Suggestion,"Raising a possibility puts it in the room while disclaiming responsibility for it. It requires no support, cannot be rebutted, and leaves a residue of doubt that outlasts any correction.","Ask what the possibility rests on. ""Is there anything behind it, or is it just possible?"" Everything is possible. The distinction between a possibility with evidence and a possibility without one is the entire question, and drawing it politely ends the move."
97,9,False Choices,Three,We either act now or we accept it will never happen.,The False Dilemma,"Two options presented as exhaustive, with the speaker's preference made to look like the only responsible one. The audience evaluates which of the two is better rather than whether there are only two.","""Those are two of the options."" Then pause. The sentence is unremarkable and it reopens the field, and the pause is what gives you and everybody else the moment needed to think of a third that nobody has mentioned."
98,9,False Choices,Three,You're either with us on this or you're against us.,The Loyalty Binary,"It converts a question about a proposal into a question about allegiance, and allegiance is answered instantly and emotionally. Anybody with a specific reservation is sorted into the opposition before they can state it.","Refuse the sorting and be concrete. ""I'm for the goal and against clause four, which I think will backfire."" Specificity is the only escape. A general answer to a binary is a binary answer."
99,9,False Choices,Three,Would you rather we did what the last lot did?,The Worse Option Defence,"A bad thing is measured against a worse thing and comes out looking like a success. The comparison is real and the standard is wrong, since the alternative on offer is not the only alternative that existed.","Move the comparison. ""Better than the worst option available isn't the test. Compared with what we said we'd do, how did it go?"" Choosing the benchmark is most of the argument, and asking for a different one is not a dodge."
100,9,False Choices,Three,"It's not perfect, but what's the alternative?",Argument from No Alternative,"It grants the criticism, which disarms you, and then makes the absence of a ready replacement into a positive case. It is effective because it is often sincerely meant and sometimes correct.","""Let's find out. Nobody's looked yet."" Then propose the search rather than the substitute. The claim that no alternative exists is a claim about the world, and it is nearly always made without anybody having checked."
101,9,False Choices,Three,We've already put eighteen months into this.,The Sunk Cost Appeal,"The effort spent is real and it feels like an asset. It is not: the eighteen months are gone whatever you decide next, and they carry emotional weight precisely because abandoning them means admitting they were wasted.","Frame the decision forward. ""If we were starting today, knowing what we know, would we choose this?"" It is the same question stripped of the past, and it often produces a different answer from the same people in the same room."
102,9,False Choices,Three,"Fine, so what would you do instead?",Demanding a Full Alternative,"It makes the right to criticise conditional on having a finished plan, which almost nobody has. Pointing out that a bridge will fall down does not require you to be able to design a bridge.","Separate the two jobs. ""I don't have a plan and this one has a hole in it. Both things can be true."" Say it without apology. Once accepted, the criticism can be examined on its own, which is the only way it can be either fixed or dismissed properly."
103,9,False Choices,Three,It's a trade-off. You can't have both.,The Invented Trade-off,"Real trade-offs exist everywhere, so an invented one is camouflaged among them. Presenting two goods as necessarily opposed forecloses the possibility that some arrangement gets more of each.","Ask for the mechanism. ""What makes them exclusive?"" Genuine trade-offs have a reason: a fixed budget, a physical constraint, a finite hour. Invented ones have only an assertion, and the question distinguishes them immediately."
104,9,False Choices,Three,"Look, something is better than nothing.",Ignoring That Something Can Be Worse,"It sounds like pragmatism and it feels generous towards action. It quietly assumes the floor is zero, when a badly designed intervention can leave things worse than leaving them alone.","""Sometimes. What happens if this one doesn't work?"" Asking for the downside case is not obstruction; it is the missing half of the comparison, and a proposal that has not considered it is not finished."
105,9,False Choices,Three,We have to start somewhere.,The Unexamined First Step,"It grants that the step is imperfect while making any objection sound like a demand for perfection. It also implies that the direction has been agreed, when the direction is the thing in dispute.","""Agreed. Does this step get us closer, or does it just get us moving?"" The distinction is the point. Motion and progress feel identical from inside a meeting and are different a year later."
106,9,False Choices,Three,That's just the price of doing business.,Naturalising the Cost,"It reclassifies a choice as a law of nature. Once a cost is described as inherent, arguing about it looks naive, and the fact that somebody decided to accept it disappears from the conversation.","""Who set that price?"" Costs presented as inevitable are usually the outcome of a decision that could be revisited, and often the decision was made years ago by people who are no longer here."
107,9,False Choices,Three,There isn't time to explore other options.,Urgency as an Argument,"Time pressure is the most reliable way to close a decision, because it converts thinking into delay. Sometimes it is genuine, which is what makes the manufactured version so hard to challenge.","Test the deadline. ""What happens if we decide on Thursday instead of today?"" A real deadline has consequences that can be named. A manufactured one has a mood, and the question separates them without accusing anybody."
108,9,False Choices,Three,So you'd rather do nothing at all.,The Inaction Smear,"It assigns you the one position nobody wants to hold. Inaction is the default and the default is always available to be blamed, so the person defending scrutiny is made to own everything that happens while scrutiny takes place.","Name the third option out loud, even if it is small. ""I'd rather do the pilot first, and then decide."" A concrete, modest alternative is the only reliable answer to this, because it makes the choice visibly wider than two."
109,10,Emotional Leverage,Four,Think about what this will do to the children.,The Appeal to Sympathy,"It is vivid, immediate and usually true of somebody. A specific imagined child overwhelms an abstract argument about aggregate outcomes, because that is how human attention is built.","Take the child seriously and widen the frame. ""That's exactly who I'm thinking about, which is why I want to know what happens to the other four hundred."" You have accepted the emotional premise entirely, which removes the accusation of coldness, and reintroduced the arithmetic that was being crowded out."
110,10,Emotional Leverage,Four,I'd be really hurt if you went ahead with that.,Pre-emptive Guilt,"It attaches a personal cost to a decision before the decision is made, so any assessment of the merits now has a thumb on the scale. It is also honest, which makes it hard to name as a tactic.","Acknowledge it, then separate it. ""I don't want to hurt you, and I want to decide this on what it does. Can we do the merits first, and then talk about you and me?"" Both things get their turn, which is the only fair version."
111,10,Emotional Leverage,Four,After everything I've done for you.,The Debt Claim,"It converts a disagreement into an act of ingratitude. The debt is usually real, which is why it lands, and the implication is that the debt is payable in agreement.","Honour the debt and decline the currency. ""You have, and I'm grateful, and I don't think I can repay it by agreeing with something I think is wrong."" Said warmly, it is hard to argue with, because it concedes every fact and refuses only the inference."
112,10,Emotional Leverage,Four,Could you live with that on your conscience?,Responsibility Transfer,"It makes you the author of an outcome you are merely declining to prevent, which is a much heavier position. It also skips the question of whether the proposed action would prevent it.","Put the causation back. ""I could if it wouldn't have helped. Would it?"" That returns the discussion to whether the intervention works, which is where it belongs, and it does so without disclaiming responsibility in general."
113,10,Emotional Leverage,Four,I'm only saying this because I'm worried about you.,Concern as Control,"Concern cannot be refused without appearing to reject care, and it licenses statements that would otherwise be unacceptable. It is also frequently sincere, which is what makes it so difficult.","Accept the concern, decline the conclusion. ""I know you are, and I've thought about it, and I'm going to do it anyway."" No argument about whether the worry is legitimate. That argument has no end, and it is not the one you need to win."
114,10,Emotional Leverage,Four,"Everyone's been really upset about it, actually.",The Reported Distress,"It brings absent people into the room as evidence, and their feelings cannot be examined or contradicted. It also implies a consensus you were not present for and cannot check.","Ask for the substance behind the feeling. ""That's worth knowing. What is it they think went wrong?"" Distress reported second hand is an invitation to guess. Converting it into a specific complaint is the only way to do anything useful with it."
115,10,Emotional Leverage,Four,You're the only one who can sort this out.,Flattery as Obligation,"It combines a compliment with a job. Declining now means both refusing the task and rejecting the flattering picture of yourself, and most people will take on more than they should rather than do that.","Keep the compliment, examine the job. ""That's kind. Let's look at whether I should, separately from whether I can."" Splitting capability from obligation is what makes it possible to say no without appearing to deny the compliment."
116,10,Emotional Leverage,Four,I don't want to fight. I just want us to be all right.,Peace as a Weapon,"It frames the continuation of the discussion as aggression. Whoever wants to keep talking about the problem is now the one disturbing the peace, and the unresolved thing is preserved by the very desire for calm.","Agree about the goal and name the route. ""So do I, and I don't think we get there by leaving this. Ten minutes, then we stop."" The time limit is what makes it acceptable. Open-ended is what people are refusing, more often than the subject itself."
117,10,Emotional Leverage,Four,Fine. Do whatever you want.,The Withdrawal,"It ends the exchange while transferring all responsibility to you, and it leaves the disagreement intact and unspoken. Nothing has been resolved, and pursuing it now means chasing somebody who has left.","Decline the transfer without pursuing. ""I don't want to do whatever I want, I want us to agree. Come back to it when you're ready."" Then genuinely leave it. Chasing a withdrawal confirms that it works."
118,10,Emotional Leverage,Four,You know how this is going to make me look.,Reputational Hostage,"It introduces a cost to somebody you care about, and the cost is social, which means it cannot be argued away with facts. The right answer to the question becomes secondary to the standing of a person in the room.","Take it seriously and put it in its place. ""I don't want that either. Is there a way to do the right thing and manage how it looks?"" Very often there is, and it goes unexplored because the two questions were presented as one."
119,10,Emotional Leverage,Four,Imagine it was your own mother in that ward.,Forced Identification,"It replaces judgement with imagination, and imagination is partial by design. You are asked to reason from the position of maximum personal stake, which is the position from which policy is judged worst.","Accept the exercise and note its limits. ""I'd want everything, immediately, and I'd be a terrible person to ask about the allocation."" That is honest, sympathetic, and makes the point that the strength of feeling is exactly why the decision is not made that way."
120,10,Emotional Leverage,Four,I'm sorry you feel that way.,The Apology That Is Not One,"It has the shape of an apology and the content of a diagnosis. Nothing is admitted, the grievance is relocated into your feelings, and the speaker has been publicly gracious.","Name what an apology would be about. ""I'm not after an apology for my feelings. I'd like to know whether you think the thing itself was wrong."" That is the question the form was designed to skip, and asking it plainly is the only way to get it back."
121,11,Running Out the Clock,Four,Let's take this offline.,The Offline Burial,"It removes the item from the room where a decision could be witnessed and moves it somewhere with no minutes and no attendees. Perfectly reasonable for detail, and reliably fatal to anything raised inconveniently.","""Happy to. You and me, Thursday morning?"" Naming two people and a day converts the offline into an actual appointment. Without that, offline means nowhere."
122,11,Running Out the Clock,Four,Let me come back to you on that.,The Indefinite Deferral,"It is a promise with no due date, which means it is not a promise. It also feels like progress in the moment, so nobody objects, and the absence of a deadline is only noticed weeks later.","""By when? I'll put it in the note."" The second half is what matters. A deferral that appears in writing with a date has to be either honoured or explicitly broken, and most people would rather honour it."
123,11,Running Out the Clock,Four,We should get the right people in the room before we decide.,Widening to Stall,"It is unanswerable, because the right people should be in the room, and every additional person makes scheduling harder. Widening is the most respectable way to slow anything down.","""Who's missing, and can we get them this week?"" Naming the gap makes it fillable. Left unnamed, the missing people multiply each time the question comes up."
124,11,Running Out the Clock,Four,Could you put that in writing for me?,Process as Friction,"It converts a two-minute conversation into an hour of work, and it is legitimate, which is the beauty of it. Repeated a few times, it makes raising things expensive enough that people stop.","Do it, and make it short. Three sentences and a question, not a document. Then send it with a date on the reply. The friction only works if you produce something long enough to be worth avoiding."
125,11,Running Out the Clock,Four,Let's park that for now.,Parking Forever,"It sounds like ordinary agenda management, and it is, until you notice that nothing ever comes out of the car park. There is no mechanism by which a parked item returns unless somebody builds one.","""Parked until when?"" Then write it in the list of parked items with the date. The list is the mechanism. Without it, parking is a euphemism for discarding."
126,11,Running Out the Clock,Four,"We're nearly out of time, so let's move on.",Clock Management,"The person controlling the agenda controls which items get the minutes, and the item that gets the last four minutes cannot be decided properly. Nothing needs to be refused; it simply does not fit.","Move it, don't drop it. ""Then let's start with it next time."" Say it before the meeting closes, so it is in the record. An item that has been squeezed twice and named twice is much harder to squeeze a third time."
127,11,Running Out the Clock,Four,Just to give a bit of background before I answer.,The Preamble,"It consumes the available minutes with material nobody can object to, and by the time the background is finished the question has lost its urgency, or the meeting has.","Ask for the order to be reversed. ""Can I get the short answer first, and then the background?"" Almost nobody refuses this, and it turns out the short answer is often thirty seconds long."
128,11,Running Out the Clock,Four,I'd need to run that past legal.,Borrowed Delay,"It transfers the decision to somebody not present, who has their own queue, and it is impossible to argue against without appearing reckless. The delay is real and the responsibility for it has been outsourced.","""Of course. Shall I send them the question today?"" Offering to do the sending is what separates a real check from a shelf. It is helpful, it is hard to refuse, and it puts a clock on it."
129,11,Running Out the Clock,Four,I think this needs a proper working group.,Referral to Committee,"It is the most respectable form of burial available. A working group takes weeks to form, months to report, and its report arrives after the decision has been made by events.","""Good. Who chairs it, who's on it, and when does it report?"" Three questions. A serious proposal answers them; a burial cannot, and asking makes that visible without any accusation."
130,11,Running Out the Clock,Four,"Sorry, remind me of the question again?",Forced Repetition,"Each repetition costs you time and credibility, since restating the same point three times makes you look fixated rather than persistent, while the person asking appears merely attentive.","Read it, do not re-explain it. ""It's the second line of the note I sent: were the figures signed off?"" Reading from a document takes eight seconds and cannot be made to look obsessive."
131,11,Running Out the Clock,Four,We've been through all this before.,Claiming It Is Settled,"It asserts that the discussion has already happened and reached a conclusion, which makes reopening it a waste of everybody's time. Whether it actually concluded is not examined.","""We discussed it. What did we decide?"" If there is a decision, you have your answer and should accept it. If nobody can state it, then it was discussed and not settled, and that difference is the entire point."
132,11,Running Out the Clock,Four,"Sorry, I'm going to have to jump.",The Hard Stop,"It ends the conversation unilaterally at a moment of the speaker's choosing, usually just after a difficult question, and it is unchallengeable because everybody has other meetings.","Get one line in before they go. ""No problem. I'll send the question by email so we can pick it up."" Said quickly, it survives the departure. The item leaves the room in writing rather than evaporating with the call."
133,12,When You Are the One Doing It,Four,I'm just being honest.,Honesty as Licence,"It converts an unkindness into a virtue, and it does so sincerely. Being honest and being unkind are independent, and the phrase is almost always deployed for something that was true and did not need saying.","Ask yourself the second question. Would you have said it if it were kind rather than cutting? Honesty that only surfaces when it wounds is not a commitment to truth, it is a permission slip, and you can hear yourself reaching for it."
134,12,When You Are the One Doing It,Four,They started it.,The Retaliation Excuse,"It feels like justice and it is a decision to lower your own standard. It is also structurally unavailable to check, since both sides remember starting second.","Notice that you now have their standard rather than yours. If the move was bad when it was done to you, it did not improve on the way back. The only person whose conduct you were ever going to control has just stopped controlling it."
135,12,When You Are the One Doing It,Four,"Well, it worked, didn't it.",Effectiveness as Justification,"Winning is real and visible, and the cost is neither. It is true that the move succeeded, and irrelevant to whether the position it defended was correct.","Ask what you won. If you got agreement without changing anybody's understanding, you have a compliance that will not survive the first time somebody checks. That is not a win with a long shelf life."
136,12,When You Are the One Doing It,Four,"I knew I was right, I just couldn't explain why at the time.",Conclusion First,"Sometimes it is true; intuition runs ahead of articulation and is often correct. It is also the exact sensation of motivated reasoning, and the two are indistinguishable from inside.","Write the reason down afterwards, when nobody is watching. If it comes easily, the intuition was doing real work. If you find yourself constructing rather than recalling, you have learned something uncomfortable and useful about that particular certainty."
137,12,When You Are the One Doing It,Four,I'd stopped listening about halfway through.,Deciding Before They Finished,"Attention is expensive and prediction is cheap, so the mind fills in the rest of somebody's argument from the first few sentences and spends the remainder preparing a reply. It feels like efficiency.","Try summarising their position back to them before you answer it. If you cannot, you were not listening, you were queueing. This one habit removes about half of the straw men you would otherwise commit."
138,12,When You Are the One Doing It,Four,There was no point explaining the real reason to them.,Condescension as Kindness,"It presents a decision to be less than honest as consideration for somebody's limits, and it is occasionally correct. Mostly it is a way of avoiding a reason you would rather not defend.","Ask whether you could say the real reason out loud to them. If the answer is that they would disagree, that is not a reason to withhold it. If the answer is that they would be right to, you have found the actual problem."
139,12,When You Are the One Doing It,Four,"I had them on the ropes, so I kept going.",Not Stopping at Enough,"Momentum is pleasurable, and there is no natural signal to stop once the point is made. Continuing past the point converts a persuaded person into a humiliated one, and humiliated people do not concede.","Watch for the moment they stop defending and start absorbing. That is the end. Anything after it is not argument, it is collection, and it costs you the agreement you had just earned."
140,12,When You Are the One Doing It,Four,I never actually said it was false.,Technically True,"It preserves deniability by leaving the claim implied rather than stated, which means you can believe yourself to have been accurate while knowing exactly what impression you left.","Ask what they walked away believing, and whether you intended that. Communication is measured at the receiver. A sentence that is defensible in a transcript and misleading in a room was chosen for that property."
141,12,When You Are the One Doing It,Four,"I was fairly sure, so I said it.",Confidence Without Checking,"Checking is slow and confidence is free, and in most conversations nobody verifies anything. You will be right often enough that the times you are not will not correct the habit.","Calibrate out loud. ""I think it's about forty percent, but I'd want to check."" It costs one clause and it makes you more credible rather than less, because the times you do state something flatly then mean something."
142,12,When You Are the One Doing It,Four,I wanted them to feel it.,Wanting to Win More Than to Be Right,"There is genuine pleasure in landing a line, and it is a different appetite from wanting to be understood. It usually appears when something else has made you feel small earlier in the day.","Notice the appetite and treat it as information about you rather than about them. It is a reliable sign that this argument has stopped being about the subject, and the best available move is to stop talking for a minute."
143,12,When You Are the One Doing It,Four,I'm not going to apologise for caring about this.,Refusing to Concede Anything,"Caring is real and it makes any retreat feel like a betrayal of the thing you care about. So you defend every part of your position equally, including the weak parts, which is how a good case gets discredited by its worst component.","Concede the weakest part first, deliberately, out loud. It is the single most persuasive thing available to anybody in an argument, and it costs you the part you could not defend anyway."
144,12,When You Are the One Doing It,Four,"You know what, you're right. I hadn't thought of that.",Losing on Purpose,"Nothing in this book is more effective and almost nobody uses it. Conceding immediately and without conditions ends the contest, and what is left is two people looking at the same problem, which was supposed to be the point.","This is the exit, and it is the last thing in the book for a reason. You are allowed to lose. You are allowed to say you have changed your mind, in public, without a face-saving clause attached. And you are allowed to walk away from an argument you could win, with somebody who is never going to change their mind, about something that will not matter by Friday. Recognising the moves is useful. Not needing to win is better, and it is available at any point, including right now, in the argument you are already having."
